root_id,cell_type
720575940621225313,NA
720575940626598346,R1-6
720575940617395412,NA
720575940632209209,T1
720575940630615543,NA
720575940628567034,NA
720575940627027087,CB1125
720575940625465864,NA
720575940618883032,Tm9
720575940621195201,NA
720575940605128550,Tm9
720575940618066461,L4
720575940625039031,Dm12
720575940613764323,R1-6
720575940634846615,CB3864
720575940626801098,NA
720575940624042537,CB3852
720575940632929336,NA
720575940613987555,R1-6
720575940624542183,C3
720575940627044358,T2a
720575940617099494,CB1975
720575940630731973,T2
720575940618254917,C3
720575940627681669,CB3828
720575940632401233,NA
720575940633452575,L1
720575940622842206,Pm1
720575940639935963,NA
720575940630829879,L4
720575940630629484,Dm8
720575940616884765,NA
720575940627923185,T4b
720575940618914358,Dm3
720575940620500673,CB1739
720575940626243569,CB3735
720575940635651263,R8
720575940637335262,NA
720575940640430720,Mi9
720575940608596747,CB3852
720575940621330893,CB3058
720575940615842098,Tm1
720575940646461219,T2
720575940616575705,CB3390
720575940625622968,NA
720575940609218005,Mi10
720575940627377346,NA
720575940614291871,NA
720575940634538175,L5
720575940605464166,Y3
720575940619215936,TmY5a
720575940623360492,Mi4
720575940611897837,CB0945
720575940615730875,T5a
720575940625232009,NA
720575940652603126,L3
720575940625932944,LLPC2
720575940628006897,T5d
720575940615799179,NA
720575940626861712,Mi1
720575940625925898,NA
720575940639691136,BM_InOm
720575940632427091,T2
720575940628865028,Mi9
720575940621641588,Tm5c
720575940623554963,Tm2
720575940626490174,Dm3
720575940616633612,CB3821
720575940636516215,Tm1
720575940623464524,Mi9
720575940629266731,Mi15
720575940612078267,Mi9
720575940621501172,Y3
720575940620841310,NA
720575940626012047,Dm21
720575940646449204,BM_InOm
720575940633178872,NA
720575940601653513,Dm3
720575940627838360,R1-6
720575940621830669,Dm3
720575940631495348,T5a
720575940624296265,T4c
720575940621270949,Dm4
720575940605633714,L1
720575940616968166,Mi10
720575940637521118,C2
720575940607332873,C3
720575940636222810,NA
720575940606723430,R7
720575940622723059,CB0738
720575940623811827,CB2414
720575940614733521,T1
720575940620691672,CB3111
720575940631323500,Pm2
720575940645854852,NA
720575940637375721,CB3518
720575940629172071,NA
720575940624312772,R1-6
720575940631316933,Mi10
720575940631380700,CB3541
720575940612467626,CB3864
720575940610499570,cL02a
720575940644991511,Tm6
720575940614695029,Tm2
720575940618677976,CB2257
720575940623959549,Tm6
720575940612732050,CB1046
720575940623652301,L5
720575940638196157,T4a
720575940622377142,T1
720575940653185782,Tm5a
720575940628778490,NA
720575940621818239,CB0468
720575940611686629,KCab
720575940613643122,CB3820
720575940619675456,CB1611
720575940623331208,L3
720575940613829900,NA
720575940636344824,NA
720575940624817845,NA
720575940622258870,R7
720575940626813577,T5a
720575940623890685,T4a
720575940610082514,NA
720575940622671437,NA
720575940639824499,L2
720575940627841871,NA
720575940636508517,NA
720575940626961304,CB0943
720575940637587813,CB2695
720575940617227449,T4c
720575940615836428,Tm2
720575940615255618,NA
720575940630446329,NA
720575940622788634,R1-6
720575940627350078,Y3
720575940614413218,T4b
720575940627246380,Mi9
720575940623950984,R1-6
720575940631586924,NA
720575940619967727,NA
720575940626365450,NA
720575940620020278,Tm6
720575940619885329,Dm2
720575940624370765,MeTu4
720575940617598779,Mi10
720575940629746732,Tm2
720575940624018440,CB2999
720575940635659486,KCab
720575940626376841,NA
720575940629415927,CB0785
720575940630824953,Tm5Y
720575940616789734,Tm9
720575940616363974,NA
720575940618479761,NA
720575940622567659,NA
720575940615407506,Dm8
720575940636615160,Am
720575940624996425,T2
720575940636681358,Tm4
720575940613030422,TmY9
720575940635870874,TmY18
720575940626888041,TmY3
720575940630747452,L1
720575940611052642,NA
720575940635150990,KCab
720575940608086194,NA
720575940622537456,R1-6
720575940616691156,NA
720575940619140406,TmY5a
720575940622116095,CB3851
720575940634840767,C3
720575940634093675,T4d
720575940625486266,NA
720575940618627669,T5d
720575940640436814,NA
720575940616312949,NA
720575940627637521,NA
720575940613425459,JO-mz
720575940633344337,CB3816
720575940613424554,R1-6
720575940623748389,NA
720575940618086841,MeTu2
720575940630909970,CB2805
720575940632164044,Mi1
720575940627352638,Pm2
720575940632868563,NA
720575940628063208,L5
720575940612219562,BM_InOm
720575940627157135,NA
720575940630907679,LAL133b
720575940624169165,Tm3
720575940618420278,Mi1
720575940637625456,C3
720575940623441151,L2
720575940620522955,R1-6
720575940623187532,CB3852
720575940653028257,NA
720575940634476383,Tm5c
720575940609758217,Mi1
720575940616166075,Tm4
720575940640332605,R1-6
720575940634424857,TmY20
720575940626250954,L2
720575940634767258,CB2427
720575940622559882,NA
720575940612031090,Mi9
720575940642689165,Dm3
720575940610582392,T4b
720575940625539082,L3
720575940619530187,DNge100
720575940619451339,T2a
720575940615389034,L1
720575940622391019,NA
720575940614743505,T5a
720575940633929628,Mi4
720575940643653655,Tm5c
720575940612476122,Dm3
720575940630907392,NA
720575940616487327,Tm16
720575940626867081,NA
720575940634879130,T2
720575940614581516,NA
720575940626782820,R1-6
720575940644815395,LHAV3e3a
720575940620534710,MeTu4
720575940622561816,CB3864
720575940630579795,NA
720575940624240520,Tm6
720575940610872050,NA
720575940606137772,MTe10
720575940625208126,T2a
720575940609368132,NA
720575940622840211,CB2020
720575940638091608,Mi15
720575940614602671,Dm3
720575940624030600,Tm5c
720575940629096208,Tm4
720575940626849641,L5
720575940626625813,CB0277
720575940617420347,Dm21
720575940619551824,BM_InOm
720575940626551707,NA
720575940617313841,NA
720575940623950600,T1
720575940637709914,NA
720575940621572449,NA
720575940618376522,T4c
720575940624200701,Tm3
720575940634360546,Mi1
720575940635801566,Dm8
720575940631910504,Dm2
720575940623054375,NA
720575940628001362,T3
720575940633365037,Tm16
720575940608170251,Y1
720575940617910667,NA
720575940630084986,Tm20
720575940629854953,NA
720575940631124598,NA
720575940635066475,Tm4
720575940618919003,L3
720575940623242022,CB1567
720575940630339395,TmY20
720575940606734002,T5b
720575940625353790,NA
720575940618951883,CB1208
720575940609312860,Mi1
720575940619905919,Mi1
720575940632082763,Dm8
720575940613979538,NA
720575940626097189,T4a
720575940635907447,TmY11
720575940639526901,MeTu3
720575940637643109,CB3458
720575940618090457,NA
720575940626836349,Mi4
720575940632469587,NA
720575940638084467,CB3194
720575940632336952,NA
720575940624019128,NA
720575940625421320,NA
720575940633013355,NA
720575940640439411,R1-6
720575940639635840,CB3857
720575940624217528,Mi1
720575940622355973,L4
720575940634509794,R7
720575940625304905,NA
720575940614889110,C2
720575940614602655,NA
720575940624436580,NA
720575940621365231,Dm2
720575940616915468,T5d
720575940614307434,CB2797
720575940605199038,NA
720575940641536245,L5
720575940626692039,NA
720575940622297980,T2a
720575940642582039,JO-C
720575940615108754,NA
720575940626255632,CB3166
720575940627956471,NA
720575940621003611,L1
720575940612862230,Mi4
720575940626588965,CB1324
720575940616764305,NA
720575940611591907,NA
720575940619876267,NA
720575940630306924,Tm2
720575940634837343,JO-F
720575940612091315,Dm3
720575940620136613,T5a
720575940613872680,L5
720575940615212138,NA
720575940615808406,L5
720575940622510630,CB1112
720575940633754292,NA
720575940627617673,Dm3
720575940612152930,"CB.FB3,4I0"
720575940652907510,NA
720575940630337402,Dm3
720575940640018741,R1-6
720575940642041032,NA
720575940614071505,C3
720575940631620712,NA
720575940620759136,Dm2
720575940622980428,MTe03
720575940607385283,Mi1
720575940609978866,CB1357
720575940629435497,T4d
720575940631271251,CB1656
720575940615157307,NA
720575940616517749,T4c
720575940622335114,Tm20
720575940620998253,BM_Taste
720575940622890189,T3
720575940613494447,CB2807
720575940610463939,Tm3
720575940617385814,R1-6
720575940626344061,TmY18
720575940625343546,NA
720575940630704896,R1-6
720575940633842062,TmY5a
720575940627082895,NA
720575940625285875,Tm16
720575940634637247,Mi4
720575940621319083,R1-6
720575940606949042,NA
720575940637329124,NA
720575940621237825,NA
720575940640400243,L1
720575940616015372,Dm2
720575940618154726,R1-6
720575940623262025,MeTu1
720575940626930947,KCab
720575940608677724,L4
720575940612718563,NA
720575940626982858,T5d
720575940612505842,Tm5Y
720575940619642629,NA
720575940628437736,Tm9
720575940645145891,T4b
720575940637490266,L1
720575940614544034,NA
720575940622819765,CB3851
720575940628325735,L5
720575940625583204,NA
720575940633648045,Dm3
720575940621915814,T5b
720575940654921633,T4b
720575940620875173,R1-6
720575940628099154,L1
720575940625442570,Tm3
720575940627494675,Dm2
720575940603747360,NA
720575940636945380,NA
720575940640675699,R7
720575940612509402,CB3845
720575940649428601,NA
720575940619156509,NA
720575940623403196,L1
720575940621066776,NA
720575940623422461,NA
720575940620251608,LCe01
720575940612490723,NA
720575940630337340,CB3816
720575940616097130,PLP037b
720575940612617453,NA
720575940630027833,cLP02
720575940615903206,CB3548
720575940628136581,Pm2
720575940606736830,T5a
720575940640419491,C3
720575940638656228,CB3830
720575940637818857,T4d
720575940631483211,NA
720575940611157746,CB1232
720575940635816926,CB2553
720575940632408206,T3
720575940637293687,NA
720575940655794849,T2a
720575940630966840,NA
720575940630085480,CB0975
720575940615856411,CB2944
720575940630881989,KCab
720575940638729542,Mi15
720575940617337089,T3
720575940611904997,CB.FB1E1
720575940617282777,T3
720575940634897315,R1-6
720575940646311476,L4
720575940644576804,Tm20
720575940616070203,cLP02
720575940659866753,NA
720575940634655851,NA
720575940641608181,NA
720575940620928647,NA
720575940627589905,CB2856
720575940630103759,Tm1
720575940621786477,TmY3
720575940611795093,TmY4
720575940623863614,NA
720575940627848841,L1
720575940606596619,NA
720575940618657108,R1-6
720575940622475248,L3
720575940621449221,CB0854
720575940630084352,SLP400a
720575940610210372,L2
720575940628335432,Tm20
720575940608176818,C3
720575940638795846,Tm3
720575940637226103,CB3826
720575940627184253,NA
720575940621760355,T1
720575940632506435,R1-6
720575940640000464,NA
720575940629196283,NA
720575940623497653,NA
720575940624236543,LTe10
720575940636069751,KCab
720575940638136253,Mi15
720575940655098017,Dm3
720575940629377218,CB3615
720575940619386430,Mi13
720575940631031803,NA
720575940651616246,Dm15
720575940638782261,Y4
720575940620738520,CB3848
720575940628351314,NA
720575940614602415,Dm12
720575940618366021,T4b
720575940620689134,C2
720575940624084203,Tm20
720575940637635305,CB0172
720575940632216079,R1-6
720575940622352204,NA
720575940622280199,NA
720575940631089256,NA
720575940628526636,CB1223
720575940629235159,NA
720575940639900112,Dm3
720575940628064016,NA
720575940616503157,CB1739
720575940620776959,T3
720575940637432944,T3
