root_id,cell_type,x,y,z
720575940606139680,R1-6,871472,406.56,383.4
720575940622084006,R1-6,850732,505,350.6
720575940618082004,R1-6,815836,313.48,106.4
720575940637508782,R1-6,833688,93.08,133.2
720575940610185411,R1-6,870052,234.7,445.2
720575940625905383,R8,814226.6666666666,490.72,236.53333333333336
720575940626966218,R1-6,876972,319.32,437.8
720575940621385387,R1-6,861796,4.8,471.8
720575940624189064,R1-6,861108,275.96,422.8
720575940629851803,R1-6,870084,459.34,415.4
720575940635682239,R1-6,824160,369.48,38.6
720575940622699504,R1-6,848736,448.8,145.8
720575940605616096,R1-6,810032,109.54,61.6
720575940626788144,R7,839488,253.78,348.4
720575940615271591,R7,831300,430.1,198.8
720575940634805155,R1-6,886008,381.24,297.6
720575940617055675,R1-6,844452,313.88,86.4
720575940627522078,R1-6,865904,64.74,389.2
720575940616947387,R1-6,840820,346.42,92.4
720575940628101898,R1-6,826032,485.1,51
720575940637289870,R1-6,867360,177.06,440.4
720575940612852978,R1-6,863264,506.28,161.4
720575940632688175,R1-6,865308,503.32,279.2
720575940612990869,R8,816524,18.2,308.4
720575940613963491,R1-6,871284,413.0266666666666,407.13333333333327
720575940619420736,R1-6,861090,487.51,187.7
720575940625854990,R1-6,819066,103.69,53.8
720575940626857418,R1-6,868168,292.46,452
720575940610005955,R7,804148,454.32,203.2
720575940633245983,R1-6,857044,274.2,140
720575940620972308,R8,825324,491.26,244
720575940636832375,R7,771684,349.88,89.4
720575940621217728,R1-6,861252,289.42,165.8
720575940618701569,R1-6,828660,45.33,107.2
720575940612990101,R1-6,881864,213.28,403
720575940634319827,R8,806216,308.26,17.6
720575940643940660,R1-6,849916,79.44,284.6
720575940616430146,R7,796692,406.64,80.8
720575940612910997,R1-6,865504,74.42,245.4
720575940628266066,R1-6,872160,149.34,404.4
720575940613271781,R8,825716,429.08,244.2
720575940640461987,R1-6,812260,441.04,72.6
720575940630474434,R8,822848,345.74,81
720575940626049613,R1-6,835788,75.24,80.4
720575940627514969,R1-6,849424,121.34,192.2
720575940615318178,R7,834740,420.18,292
